Line,Identifier 1,block,Identifier 2,delta.O18,delta.H2,sd.O18,sd.H2,d.Excess,sd.d.Excess
22,S496_18.10.2018_NM,NA,NA,-8.968535963581223,-105.70646680780672,0.03770141046125086,0.19304174796701654,-33.95817909915693,0.1143752152742183
23,S490_22.09.2018_NM,NA,NA,-21.218908233210684,-160.5828427516887,0.0751926614193966,0.21652811462299665,9.168423113996775,0.3852379789559148
24,SEZ-2_3,2,NA,-27.997610285774954,-214.10592473150777,0.02054822200285339,0.03842190951405425,9.874957554691852,0.12988668829887431
25,HGL-1_7,2,NA,-0.6307315007273235,-11.77340072732281,0.007653657145990757,0.1901273270882646,-6.727548721504222,0.25091231999454716
26,MilliQ IsoLab_2,2,NA,-9.56411377013755,-72.2403305192747,0.010782377042205308,0.15364079166676617,4.272579641825696,0.06738178798680611
27,MXW_7,2,NA,-43.65277126684463,-358.55775761605105,0.015240781177769924,0.0218683977462353,-9.335587481293999,0.10099092993868308
28,HDW1_3,2,NA,-13.14424039009083,-103.75681910592107,0.014921296331573896,0.061364105903231006,1.3971040148055873,0.1383609123536082
29,NGT_3,2,NA,-35.48501764894251,-276.7220443655047,0.0584239595585339,0.28499885311763695,7.158096826035376,0.182592471982203
30,S492_08.10.2018_NM,NA,NA,-17.096733479963035,-140.1263963861318,0.009354526972717662,0.0937462598702602,-3.3525285464275307,0.06854928957526366
31,S498_28.10.2018_NM,NA,NA,-11.820204253624674,-127.36670212637765,0.009834451792393395,0.13517259935777642,-32.80506809738026,0.0806200707696918
32,S499_02.11.2018_NM,NA,NA,-8.373153038790226,-112.78165836450329,0.007598912344822804,0.06466998757448829,-45.79643405418148,0.04096569692909448
33,S500_27.11.2018_NM,NA,NA,-19.726044841662194,-188.10179400087435,0.004395996895083773,0.03320610596000744,-30.293435267576807,0.05265825097988721
34,S501_10.12.2018_NM,NA,NA,-29.25218260466008,-229.00338321440333,0.024324386851607437,0.05040866398548699,5.014077622877333,0.15572525302371135
35,S502_12.12.2018_NM,NA,NA,-21.713761270193334,-197.2163023240639,0.003698207131223182,0.038754587160998145,-23.506212162517233,0.015325454852618834
36,T_26.09.2018_NM,NA,NA,-14.953352895304679,-152.65965866268576,0.004729519977928599,0.020900584378774227,-33.03283550024834,0.031201868572849414
37,T_30.10.2018_NM,NA,NA,-40.972151597397655,-315.7715412306763,0.07886389630249159,0.39859923607769127,12.005671548504987,0.2323137215336027
38,T338_31.12.2018_NM,NA,NA,-32.34956281776263,-249.76108818308387,0.02015092109348671,0.07310817926165411,9.035414359017162,0.0995087259296245
39,T345_27.01.2019_NM,NA,NA,-37.61157520834705,-298.336368849741,0.034491612334244554,0.18444427260401192,2.5562328170353794,0.10553947172316022
40,S497_21.10.2018_Auffuellung,NA,NA,-17.924092918641605,-154.66234488558993,0.01863638681170209,0.046893389866605587,-11.26960153645708,0.10875034262097427
41,S487_10.09.2018_Auffuellung,NA,NA,-22.867485449930104,-180.43058556683854,0.01119073860109614,0.03629317143138288,2.509298032602279,0.12568424866620398
42,S489_21.09.2018_Auffuellung,NA,NA,-18.913223884535718,-144.0688022093115,0.10436097422541252,0.3173678806660269,7.23698886697422,0.5178146547784573
43,S535_30.03.2019_Auffuellung,NA,NA,-26.24366229057018,-224.01297645768926,0.04678182088045261,0.2438910547341655,-14.063678133127809,0.13060905264029887
44,S491_24.09.2018_Auffuellung,NA,NA,-19.29638610578306,-147.1077131179959,0.12082697622045761,0.39238829355498994,7.263375728268585,0.5784054993843074
45,S494_10.10.2018_Auffuellung,NA,NA,-10.7618815120836,-98.56448262201745,0.005759846973233637,0.05770942701236968,-12.469430525348647,0.050281123672943684
46,SEZ-2_3,3,NA,-27.922812533391085,-213.62209596923623,0.051778842013792695,0.23498307749036296,9.760404297892459,0.1800656231780071
